ID;Group;Story;Em.Happiness;Em.Joy;Em.Pride;Em.Boredom;Em.Fear;Em.Sadness;Em.Shame;sum;Emo.Happiness;Emo.Joy;Emo.Pride;Emo.Boredom;Emo.Fear;Emo.Sadness;Emo.Shame
60ce6161d5b14a77f8b3ed34;6;Boredom;6;6;6;2;1;4;1;26;0.230769231;0.230769231;0.230769231;0.076923077;0.038461538;0.153846154;0.038461538
61487449c4291d9ddc99b8b1;6;Boredom;5;5;5;8;0;7;5;35;0.142857143;0.142857143;0.142857143;0.228571429;0;0.2;0.142857143
595148fc1ebf4800018a4fae;6;Boredom;5;4;6;7;1;4;2;29;0.172413793;0.137931034;0.206896552;0.24137931;0.034482759;0.137931034;0.068965517
60ce6161d5b14a77f8b3ed34;6;Happiness;8;6;8;2;1;2;1;28;0.285714286;0.214285714;0.285714286;0.071428571;0.035714286;0.071428571;0.035714286
61487449c4291d9ddc99b8b1;6;Happiness;10;10;10;0;0;0;0;30;0.333333333;0.333333333;0.333333333;0;0;0;0
595148fc1ebf4800018a4fae;6;Happiness;8;8;9;0;1;0;0;26;0.307692308;0.307692308;0.346153846;0;0.038461538;0;0
60ce6161d5b14a77f8b3ed34;6;Shame;1;1;0;5;9;8;9;33;0.03030303;0.03030303;0;0.151515152;0.272727273;0.242424242;0.272727273
61487449c4291d9ddc99b8b1;6;Shame;0;0;0;0;8;8;10;26;0;0;0;0;0.307692308;0.307692308;0.384615385
595148fc1ebf4800018a4fae;6;Shame;0;0;0;0;7;7;9;23;0;0;0;0;0.304347826;0.304347826;0.391304348
60ce6161d5b14a77f8b3ed34;6;Pride;7;7;7;1;1;1;1;25;0.28;0.28;0.28;0.04;0.04;0.04;0.04
61487449c4291d9ddc99b8b1;6;Pride;10;10;10;0;0;0;0;30;0.333333333;0.333333333;0.333333333;0;0;0;0
595148fc1ebf4800018a4fae;6;Pride;9;9;10;0;0;0;0;28;0.321428571;0.321428571;0.357142857;0;0;0;0
60ce6161d5b14a77f8b3ed34;6;Fear;4;2;7;1;7;7;2;30;0.133333333;0.066666667;0.233333333;0.033333333;0.233333333;0.233333333;0.066666667
61487449c4291d9ddc99b8b1;6;Fear;0;0;0;0;10;10;0;20;0;0;0;0;0.5;0.5;0
595148fc1ebf4800018a4fae;6;Fear;0;0;2;0;10;7;5;24;0;0;0.083333333;0;0.416666667;0.291666667;0.208333333
5b756b936f9c7500018698b1;7;Pride;10;10;10;0;0;0;0;30;0.333333333;0.333333333;0.333333333;0;0;0;0
535ffd41fdf99b65eb1831b2;7;Pride;8;8;9;0;0;0;0;25;0.32;0.32;0.36;0;0;0;0
623480ea17c402f4acae35f0;7;Pride;6;6;7;2;2;2;2;27;0.222222222;0.222222222;0.259259259;0.074074074;0.074074074;0.074074074;0.074074074
5b756b936f9c7500018698b1;7;Happiness;10;10;10;0;0;0;0;30;0.333333333;0.333333333;0.333333333;0;0;0;0
535ffd41fdf99b65eb1831b2;7;Happiness;8;8;3;0;0;0;0;19;0.421052632;0.421052632;0.157894737;0;0;0;0
623480ea17c402f4acae35f0;7;Happiness;6;6;7;3;2;2;2;28;0.214285714;0.214285714;0.25;0.107142857;0.071428571;0.071428571;0.071428571
5b756b936f9c7500018698b1;7;Fear;0;0;0;0;10;7;0;17;0;0;0;0;0.588235294;0.411764706;0
535ffd41fdf99b65eb1831b2;7;Fear;0;0;0;0;9;7;4;20;0;0;0;0;0.45;0.35;0.2
623480ea17c402f4acae35f0;7;Fear;2;2;2;2;9;7;2;26;0.076923077;0.076923077;0.076923077;0.076923077;0.346153846;0.269230769;0.076923077
5b756b936f9c7500018698b1;7;Joy;10;10;10;0;2;3;0;35;0.285714286;0.285714286;0.285714286;0;0.057142857;0.085714286;0
535ffd41fdf99b65eb1831b2;7;Joy;9;9;2;0;0;0;2;22;0.409090909;0.409090909;0.090909091;0;0;0;0.090909091
623480ea17c402f4acae35f0;7;Joy;8;8;8;2;2;2;2;32;0.25;0.25;0.25;0.0625;0.0625;0.0625;0.0625
5b756b936f9c7500018698b1;7;Shame;0;0;0;0;5;10;10;25;0;0;0;0;0.2;0.4;0.4
535ffd41fdf99b65eb1831b2;7;Shame;0;0;0;0;7;4;9;20;0;0;0;0;0.35;0.2;0.45
623480ea17c402f4acae35f0;7;Shame;1;1;1;1;7;7;7;25;0.04;0.04;0.04;0.04;0.28;0.28;0.28
5b756b936f9c7500018698b1;7;Sadness;4;4;0;0;10;10;0;28;0.142857143;0.142857143;0;0;0.357142857;0.357142857;0
535ffd41fdf99b65eb1831b2;7;Sadness;2;2;0;0;0;9;0;13;0.153846154;0.153846154;0;0;0;0.692307692;0
623480ea17c402f4acae35f0;7;Sadness;2;2;7;5;2;7;2;27;0.074074074;0.074074074;0.259259259;0.185185185;0.074074074;0.259259259;0.074074074
5b756b936f9c7500018698b1;7;Boredom;2;2;2;9;0;8;0;23;0.086956522;0.086956522;0.086956522;0.391304348;0;0.347826087;0
535ffd41fdf99b65eb1831b2;7;Boredom;2;2;0;8;0;0;0;12;0.166666667;0.166666667;0;0.666666667;0;0;0
623480ea17c402f4acae35f0;7;Boredom;2;2;2;7;2;5;2;22;0.090909091;0.090909091;0.090909091;0.318181818;0.090909091;0.227272727;0.090909091
