ID;Group;Story;Em.Boredom;Em.Fear;Em.Happiness;Em.Joy;Em.Pride;Em.Sadness;Em.Shame;Precision
6036e6d7a9be29063e16da2d;6;Joy;0;0;0;0;1;0;0;0
5991a9f7e339120001fb8c69;6;Joy;0;0;0;1;0;0;0;1
5f2e656e3a5bfb1ca0aa6694;6;Boredom;1;0;0;0;0;0;0;1
6036e6d7a9be29063e16da2d;6;Boredom;1;0;0;0;0;0;0;1
5991a9f7e339120001fb8c69;6;Boredom;1;0;0;0;0;0;0;1
5f2e656e3a5bfb1ca0aa6694;6;Happiness;0;0;0;1;0;0;0;0
6036e6d7a9be29063e16da2d;6;Happiness;0;0;1;0;0;0;0;1
5991a9f7e339120001fb8c69;6;Happiness;0;0;1;0;0;0;0;1
5f2e656e3a5bfb1ca0aa6694;6;Shame;0;0;0;0;0;0;1;1
6036e6d7a9be29063e16da2d;6;Shame;0;0;0;0;0;0;1;1
5991a9f7e339120001fb8c69;6;Shame;0;0;0;0;0;0;1;1
5f2e656e3a5bfb1ca0aa6694;6;Pride;0;0;0;0;1;0;0;1
6036e6d7a9be29063e16da2d;6;Pride;0;0;0;1;0;0;0;0
5991a9f7e339120001fb8c69;6;Pride;0;0;0;0;1;0;0;1
5f2e656e3a5bfb1ca0aa6694;6;Fear;0;1;0;0;0;0;0;1
6036e6d7a9be29063e16da2d;6;Fear;0;1;0;0;0;0;0;1
5991a9f7e339120001fb8c69;6;Fear;0;1;0;0;0;0;0;1
61560409c9e298bf8e54dc2e;7;Pride;0;0;0;0;1;0;0;1
5da4cdfde1684f00185cd72d;7;Pride;0;0;0;0;1;0;0;1
5ac388a8a3ba7a0001b48eb4;7;Pride;0;0;0;0;1;0;0;1
61560409c9e298bf8e54dc2e;7;Happiness;0;0;1;0;0;0;0;1
5da4cdfde1684f00185cd72d;7;Happiness;0;0;0;1;0;0;0;0
5ac388a8a3ba7a0001b48eb4;7;Happiness;0;0;0;1;0;0;0;0
61560409c9e298bf8e54dc2e;7;Fear;0;1;0;0;0;0;0;1
5da4cdfde1684f00185cd72d;7;Fear;0;1;0;0;0;0;0;1
5ac388a8a3ba7a0001b48eb4;7;Fear;0;1;0;0;0;0;0;1
61560409c9e298bf8e54dc2e;7;Joy;0;0;0;1;0;0;0;1
